Comparison,log2FoldChange,padj,Gene
SF vs NC,-1.715133543,0.006103022,FAP
SF vs NC,-1.713328384,0.025543035,LRFN5
SF vs NC,-1.713223569,0.027398087,POPDC3
SF vs NC,-1.712081833,0.044297221,EDNRB2
SF vs NC,-1.708426471,0.044404811,NPNT
SF vs NC,-1.704962126,0.00074135,LOC107056412
SF vs NC,-1.70255429,0.001483912,DOCK3
SF vs NC,-1.699960063,0.00787406,C10orf71
SF vs NC,-1.699516204,0.027563161,COL4A6
SF vs NC,-1.699470167,0.000244977,LOC124417310
SF vs NC,-1.699295537,0.007298613,LOC107053039
SF vs NC,-1.698432729,0.013767487,PRKCDBP
SF vs NC,-1.696962122,8.53E-05,LOC107054294
SF vs NC,-1.695888646,0.002603413,C8B
SF vs NC,-1.695524541,0.034371966,PROCR
SF vs NC,-1.692723214,3.30E-05,BICD1
SF vs NC,-1.690638366,0.005056071,CTSE
SF vs NC,-1.690499371,0.025672561,MXRA8
SF vs NC,-1.686174973,0.020235952,DNAAF9
SF vs NC,-1.68606292,0.00151977,C2CD4C
SF vs NC,-1.680792543,0.045678725,SMARCD3
SF vs NC,-1.67868927,0.044992571,CRTAP
SF vs NC,-1.677514398,0.048930678,EPHA5
SF vs NC,-1.672291149,0.011011967,LOC101750669
SF vs NC,-1.671190687,0.007825999,ANK1
SF vs NC,-1.666472755,0.000538734,LOC107053544
SF vs NC,-1.659793042,0.008468789,DRP2
SF vs NC,-1.658429517,0.021804226,LOC101750931
SF vs NC,-1.658273523,0.00318502,SCN2A
SF vs NC,-1.65609076,0.001877908,CACNA2D1
SF vs NC,-1.654756532,0.000122503,SSTR5
SF vs NC,-1.652114164,0.043479184,ST3GAL3
SF vs NC,-1.647310948,0.001886066,J6367_mgp01
SF vs NC,-1.64149443,0.001837087,KCNA6
SF vs NC,-1.637922754,0.024827376,IL1R1
SF vs NC,-1.63451901,8.53E-05,LOC101747703
SF vs NC,-1.631244479,0.019431257,LOC121109556
SF vs NC,-1.627921937,0.049871586,KIAA1462
SF vs NC,-1.627351521,0.034835656,AFAP1
SF vs NC,-1.626922877,0.010647493,FAM132A
SF vs NC,-1.61916197,0.000659096,NRG4
SF vs NC,-1.616838059,0.021130482,EVC2
SF vs NC,-1.613231223,0.013324622,SH3PXD2A
SF vs NC,-1.611460403,0.019450025,CAV2
SF vs NC,-1.610459552,0.000158983,LOC121106615
SF vs NC,-1.607636685,0.001814964,LOC121110565
SF vs NC,-1.60426628,0.011572855,LOC112530237
SF vs NC,-1.603457826,0.001345592,C14orf132
SF vs NC,-1.601592288,0.001283653,LOC121109994
SF vs NC,-1.600874964,0.007088586,NPL
SF vs NC,-1.600846207,0.001877908,MAOB
SF vs NC,-1.600577989,0.020681513,LOC107050025
SF vs NC,-1.599747057,0.012624636,H1F0
SF vs NC,-1.598617934,0.015870187,LOC107053719
SF vs NC,-1.596499267,0.001334933,LOC121113160
SF vs NC,-1.595477343,0.008875472,TLR5
SF vs NC,-1.591973689,0.003486978,TAAR1
SF vs NC,-1.590662324,0.003456793,DSG4
SF vs NC,-1.587780839,0.00076177,LOC121107297
SF vs NC,-1.586049262,0.026566914,LOC124418029
SF vs NC,-1.584475505,0.046790098,ZCCHC24
SF vs NC,-1.580195571,0.007278688,LOC107053667
SF vs NC,-1.578749416,0.000141362,ACER2
SF vs NC,-1.57794412,0.029677041,G6PC
SF vs NC,-1.577206976,0.02281715,DSE
SF vs NC,-1.574008005,0.041418343,IL31RA
SF vs NC,-1.572974518,0.043525949,PLEKHG4
SF vs NC,-1.572755395,3.52E-05,CLSTN2
SF vs NC,-1.57150602,0.000659096,GYS2
SF vs NC,-1.570995278,0.020509561,CPQ
SF vs NC,-1.570339788,0.049915027,CDC42EP1
SF vs NC,-1.569513421,0.00734837,LOC419840
SF vs NC,-1.566776659,0.003089966,CPS1
SF vs NC,-1.56578359,0.002472567,LOC124417891
SF vs NC,-1.560075872,0.009560206,LOC121113460
SF vs NC,-1.558995386,0.004995669,LOC121113430
SF vs NC,-1.553632303,0.001951218,LOC112530656
SF vs NC,-1.552386874,0.041683863,KDELC2
SF vs NC,-1.551596867,0.004718222,KCNG1
SF vs NC,-1.549446145,0.002546735,LOC124417067
SF vs NC,-1.545837055,0.008097908,BDKRB2
SF vs NC,-1.542487093,0.011643275,CCDC60
SF vs NC,-1.540602284,0.007978253,SYBU
SF vs NC,-1.540020504,1.17E-10,PM20D2
SF vs NC,-1.539775947,0.001363837,ABCB11
SF vs NC,-1.538346895,0.034091215,PTPN13
SF vs NC,-1.535730813,0.018199128,LOC419409
SF vs NC,-1.534584798,0.039437344,GPR162
SF vs NC,-1.534070126,0.000365883,LOC112531572
SF vs NC,-1.533382839,0.048581099,EOGT
SF vs NC,-1.533336305,0.003414463,KIF25
SF vs NC,-1.532964474,0.001041728,AQP4
SF vs NC,-1.532335503,0.018299928,ADCY2
SF vs NC,-1.53162553,0.033596999,JAG2
SF vs NC,-1.530950472,0.000291407,UCN3
SF vs NC,-1.530945309,0.036520363,ASL1
SF vs NC,-1.526686981,0.042140798,HOXA7
SF vs NC,-1.525449707,2.17E-06,LOC101748371
SF vs NC,-1.525192496,0.005783801,PIK3C2G
SF vs NC,-1.524190838,0.000598012,TDH
SF vs NC,-1.524157042,0.019421185,CSRP2
SF vs NC,-1.522695409,0.003330672,LOC121110925
SF vs NC,-1.520907713,0.027565732,LOC121110301
SF vs NC,-1.519950061,0.01141716,P2RX6
SF vs NC,-1.519247127,0.009754506,LOC107054136
SF vs NC,-1.517434741,0.004248353,HMCN1
SF vs NC,-1.514895316,0.002672322,HFM1
SF vs NC,-1.513481413,0.023007431,LOC121113201
SF vs NC,-1.510853922,0.010797169,A2ML1
SF vs NC,-1.506988541,0.046605214,PPY
SF vs NC,-1.505708149,0.001161736,DACT2
SF vs NC,-1.502759163,0.003919931,BVES
SF vs NC,-1.50157753,0.037571996,METTL11B
SF vs NC,-1.500830209,0.001508966,SXPH
SF vs NC,-1.500489735,0.00686879,DZIP1L
SF vs NC,-1.496249174,0.006057092,GGT5
SF vs NC,-1.494080854,0.023058449,LOC423752
SF vs NC,-1.492925354,0.02613919,PCDH12
SF vs NC,-1.492682064,0.000322477,GIP
SF vs NC,-1.49025141,0.004868709,HUNK
SF vs NC,-1.484302643,0.015872606,UST
SF vs NC,-1.484258018,0.011923109,CRISPLD1
SF vs NC,-1.48403705,0.008844548,MYT1
SF vs NC,-1.479668346,0.000141473,TM4SF18
SF vs NC,-1.479202897,0.004463664,LOC112530623
SF vs NC,-1.477499768,0.010673798,LMO2
SF vs NC,-1.476595003,0.005001107,DFNB59
SF vs NC,-1.472681133,0.023674089,HECW2
SF vs NC,-1.470326927,9.02E-06,RYR3
SF vs NC,-1.465800839,0.026566914,LOC107054876
SF vs NC,-1.465053055,0.042684545,SVIP
SF vs NC,-1.464998429,0.033623411,GALNT15
SF vs NC,-1.463786186,0.026456402,NMUR1
SF vs NC,-1.462129524,0.037210961,DENND2A
SF vs NC,-1.460314089,0.023272135,EPB42
SF vs NC,-1.459082817,0.003420082,PDK4
SF vs NC,-1.457780685,0.026566914,ILDR2
SF vs NC,-1.457408666,0.017010023,GPR50
SF vs NC,-1.457270824,0.040112579,ADAMTS18
SF vs NC,-1.45654365,0.002098787,MTURN
SF vs NC,-1.455797003,0.001156256,J6367_mgp03
SF vs NC,-1.455553674,0.006009446,IL1RL2
SF vs NC,-1.45179739,0.004448489,LOC107053124
SF vs NC,-1.451525559,0.028063041,GALNT16
SF vs NC,-1.451435053,0.012071895,LOC424491
SF vs NC,-1.451331403,0.026254416,LOC121108280
SF vs NC,-1.4500981,0.019364774,LOC121108471
SF vs NC,-1.449772091,0.030395169,CR1
SF vs NC,-1.44831474,0.045957506,BLEC1
SF vs NC,-1.448043366,0.02000602,LOC419250
SF vs NC,-1.44563024,0.041773334,LOC100858647
SF vs NC,-1.445470437,0.015860317,PPFIA2
SF vs NC,-1.445391154,1.40E-08,CRCP
SF vs NC,-1.443759841,0.025009925,LOC121109759
SF vs NC,-1.443489883,0.010141347,LOC107053142
SF vs NC,-1.442375734,0.014151053,TMEM116
SF vs NC,-1.440858924,0.006937457,TENM1
SF vs NC,-1.439004401,0.004559656,LOC121113175
SF vs NC,-1.437943472,0.004206865,CD36
SF vs NC,-1.432766159,0.031379046,LOC395611
SF vs NC,-1.430677866,0.025543035,SNED1
SF vs NC,-1.424765097,1.31E-06,SCG5
SF vs NC,-1.421866377,0.007298613,FAM46D
SF vs NC,-1.419920386,0.035616396,ADGRA2
SF vs NC,-1.41668176,0.00706172,NALCN
SF vs NC,-1.415529527,0.006823108,PTPRS
SF vs NC,-1.415059357,0.007661567,NRCAM
SF vs NC,-1.414449518,0.011466934,KIAA0408
SF vs NC,-1.411854282,0.02638632,LOC124418341
SF vs NC,-1.411070438,0.000276941,CADPS
SF vs NC,-1.410525053,0.027467446,EVI2A
SF vs NC,-1.407550445,0.000962474,NAALAD2
